"filename", "language", "Python", "HTML", "SCSS", "JavaScript", "Markdown", "CSS", "XML", "PHP", "JSON", "pip requirements", "JSON with Comments", "comment", "blank", "total"
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/static/css/ssl-all-core-desktop-new6d04.css", "CSS", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 4, 5, 14
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/static/css/ssl-all-homepage-index-desktop-new6889.css", "CSS", 0, 0, 0, 0, 0, 1172, 0, 0, 0, 0, 0, 1, 2, 1175
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/static/css/ssl-all-search-new_catalog-desktop-new6d04.css", "CSS", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 2, 5
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/PurchaseofJewelleryFormCount.html", "HTML", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/base.html", "HTML", 0, 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 8, 235
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/cform.html", "HTML", 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 69
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/colorstoneupload.html", "HTML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/common.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 25
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/common_form.html", "HTML", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/common_return.html", "HTML", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 10
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/common_table.html", "HTML", 0, 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 125
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/common_table_inv.html", "HTML", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 86
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/common_update.html", "HTML", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 187
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/company.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/contact.html", "HTML", 0, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/currency_dropdown_list_options.html", "HTML", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/diamondupload.html", "HTML", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 41
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/displayblog.html", "HTML", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/displaycart.html", "HTML", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 77
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/displaycart_cs.html", "HTML", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 83
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/displaycart_d.html", "HTML", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 83
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/filtered.html", "HTML", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 39
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/filtered_cs.html", "HTML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/filtered_d.html", "HTML", 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 45
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/form.html", "HTML", 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 16, 167
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/home.html", "HTML", 0, 176, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 188
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/index.html", "HTML", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/itemsearch.html", "HTML", 0, 387, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 407
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/jewelleryupload.html", "HTML", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 40
"/run/media/vishal/College/Club/ZBC/Project/Startup/startup-database/firstapp/templates/login.html", "HTML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18
